Ref ID,Renewable Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,"Connection to communal, district or campus heat network","New, renovation or expansion of existing heat network",Number of customer connections,Number of buildings,"Types of Building (domestic, non domestic or mixed)",Types of buildings,Secondary plant technology,Third plant technology,Backup plant technology,Installed Capacity (MWelec),Installed Generation Capacity (MW thermal),Length of distribution network in m,Average diameter of pipes in mm,Development Status,X-coordinate,Y-coordinate
11816,,09/08/2022,London Borough of Newham,Vandome Close - 55 Apartments,District,Expansion,1304,,Mixed,"Residential, Medical Centre, Retail, Restaurant, Cinema, Hotel",,,,,,,,Planning Permission Granted,433251,278903
11952,,03/01/2023,Euthenia Developments Limited,Manderson House - 111 Flats,District,Expansion,,,,Unspecified,,,,,,2000,,Planning Permission Granted,534538,191957
12063,,12/09/2022,Stanhope Plc,55 Bishopsgate - Office,District,Expansion,189,1,Domestic,Residential,,,,,,,,Planning Application Submitted,430871,433411
12070,,31/10/2023,Gosway Properties Limited,495 Whippendell Road - 25 Apartments,Communal,Expansion,96,1,Domestic,Residential,,,,,,,,Planning Application Withdrawn,430860,434014
12423,,25/10/2022,Minsthorpe Community College,Minsthorpe Community College - Sports Halls & Gym,District,Expansion,78,1,Domestic,Residential,,,,,,,,Planning Application Submitted,430877,433579
12465,,03/04/2024,Mackenzie Homes Limited,The Squirrels Estate - 116 Flats & Retail,District,Expansion,,,Mixed,Unspecified,,,,,,547,,Planning Permission Granted,535818,177990
12619,,14/11/2022,Kitewood Estates Limited,Willow Way - 60 Flats & Offices,District,Expansion,1458,14,Mixed,"Residential, Unspecified Commercial",,,,,,,,Planning Application Submitted,533863,192063
12654,,02/04/2024,Cold Move Limited,"Cold Move, Maes-Y-Clawdd ",District,Expansion,532,5,Mixed,"Residential, Unspecified Commercial",,,,,,,,Planning Application Submitted,533938,191954
12873,,19/12/2022,BexleyCo Homes,Walnut Tree Road - 70 Flats,District,Expansion,,,Mixed,,,,,,,,,Scoping,534794,177582
12874,,30/01/2023,School Road Acton Ltd,"School Road, Acton - 176 Apartments & Industrial Space",District,Expansion,1,3,Non Domestic,Secondary School,,,,,,,,Planning Permission Granted,534573,178970
13049,,17/04/2023,GMD Developments Limited,152 Victoria Road - 91 Apartments & Student Accommodation,District,Expansion,584,,Mixed,"Residential, Community Hub",,,,,,,,Planning Permission Granted,395312,804690
13050,,17/04/2023,Fifth State Limited,5-9 Creekside - Student Accommodation,District,Expansion,,,Mixed,"Residential, Community Hub",,,,,,,,Planning Permission Granted,395312,804690
13085,,28/09/2023,Far East Consortium International Limited,"Ensign House, Isle Of Dogs - 495 Apartments & Commercial",District,Expansion,1,1,Non Domestic,"Secondary School, Primary School",,,,,,,,Planning Permission Granted,432037,432613
13365,,06/10/2023,Richmond Housing Partnership,Sheldon House - 27 Apartments,District,Expansion,130,6,Mixed,"Residential, Office, Retail, Arena, Gym, Hotel",,,,,,,,Planning Permission Granted,356933,171393
13490,,06/06/2023,Respect Developments,Glenrothes Crematorium,District,Expansion,,,,Unspecified,,,,,,4500,,Planning Application Withdrawn,529337,192428
13514,,09/11/2023,Thackeray Estates,3-7 Park Street - Commercial & 23 Flats,District,Expansion,,,,Unspecified,,,,,,7000,,Planning Application Withdrawn,532964,192135
13650,,22/08/2023,NHS Lanarkshire Kirklands Hospital,Monklands Hospital Replacement Project,Campus,New,1,3,Non Domestic,Industrial,,,,,,,,Planning Permission Granted,323883,178383
14311,,30/01/2024,Hollybrook Limited,Neasden Goods Yard,District,Expansion,145,1,Mixed,"Residential, Community Hub",,,,,,,,Planning Permission Granted,535125,178780
14661,,10/11/2023,IXDS Limited,Bidder Street - Data Centre,Campus,New,1,6,Non Domestic,Industrial,,,,,,,,Planning Permission Granted,380912,431361
14684,,01/09/2023,Inland Homes Plc,Gallions Close - 233 Flats & Retail Unit,District,New,,,Mixed,Unspecified,,,Gas Boiler,40,,,,Planning Application Submitted,433599,431259
14817,,20/09/2023,Moray Council,South Street - 38 Flats & Retail,District,Expansion,2,1,Non Domestic,"Student Accommodation, Unspecified Commercial",,,,,,,,Under Construction,429990,434085
14949,,03/10/2023,Hemiko,Greenwich Peninsula Energy Centre - Air Source Heat Pumps,District,Expansion,1536,9,Domestic,Residential,,,,,,,,Planning Permission Granted,534573,178970
15841,,16/02/2024,,,District,Expansion,217,1,Domestic,Residential,,,,,,,,Under Construction,430834,434195
16509,,18/06/2024,,,District,New,,,Not Specified,Not Specified,,,,,15,,,Planning Application Submitted,580770,172044
