Ref ID,Renewable Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,"Connection to communal, district or campus heat network","New, renovation or expansion of existing heat network",Number of customer connections,Number of buildings,"Types of Building (domestic, non domestic or mixed)",Types of buildings,Technology Type,Secondary plant technology,Third plant technology,Backup plant technology,Installed Capacity (MWelec),Installed Generation Capacity (MW thermal),Primary Fuel type,Heat Source,Temperature of heat supply (Celsius),Heat Storage,Heat Storage (Volume m3),Heat Enabled,Cooling Enabled,CHP Enabled,Length of distribution network in m,Average diameter of pipes in mm,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Decommissioned / Abandoned / No Application Made
8559,,15/03/2021,Taylor Wimpey,"Osiers Road, Wandsworth ",Communal,New,109,1,Domestic,Residential,Gas Boiler,,,,,,Gas,,70.00,,,Yes,,No,,,Under Construction,Under Construction,"Linton Fuels, Osiers Road",London,London,England,SW18 1NR,525428,175090,Wandsworth,2016/6164,,,,,25/10/2016,,,,,,,,,,,,,,
8561,,15/03/2021,Thameswey Group,Poole Road Energy Centre,District,New,,,Mixed,Unspecified,Gas Fired CHP,,,,,,Gas,,,,,Yes,Yes,Yes,,,Operational,Operational,"9 - 13 Poole Road And Poole Road, Goldsworth Road And Church Street West, Woking",Surrey,South East,England,GU21 6DY,500188,158466,Woking,PLAN/2018/1362,,,,,24/12/2018,,,,,,,30/08/2019,,,,,,01/05/2021,
8563,,19/10/2023,Mersey Heat,Liverpool Waters Energy Centre,District,New,,,Mixed,Unspecified,Gas Boiler,Water Source Heat Pumps,,,40.00,,Gas,,,Yes,260.00,Yes,Yes,No,,,Under Construction,Under Construction,"Sherwood Street, Vauxhall",Merseyside,North West,England,L3 7DW,333964,391968,Liverpool,20F/3223,,,,,11/12/2020,,,,,,,24/03/2021,,,,,,,
8564,,06/01/2023,Colchester Borough Council,Colchester Northern Gateway South,District,New,,,Mixed,"Residential, Care Home, Hospital, Medical Centre, Office, Restaurant",Water Source Heat Pumps,Gas Boiler,,,0.80,,Electric,,,,,Yes,,No,,,Under Construction,Under Construction,Btw Via Urbis Romanae & Mill Road,Essex,Eastern,England,CO4 5XD,600110,228904,Colchester,190665,,,,,29/03/2019,,,,,,,17/07/2019,,,,,,,
8565,,12/01/2022,Veolia ES (UK) Limited,Lewisham Spine Heat Network Expansion (Alternative Route),District,Expansion,,,Mixed,Unspecified,EfW Incineration,Gas Fired CHP,,,,,Gas,Heat from Energy from Waste Plants,,,,Yes,,Yes,1037.00,,Under Construction,Under Construction,"Convoys Limited, Prince Street",London,London,England,SE8 3JH,535589,178016,Lewisham,DC/20/117685,,,,,29/07/2020,,,,,,,19/03/2021,,,,,,,
8566,,12/01/2022,Veolia ES (UK) Limited,Lewisham Spine Heat Network Expansion,District,Expansion,,,Mixed,Unspecified,EfW Incineration,Gas Fired CHP,,,,,Gas,Heat from Energy from Waste Plants,,,,Yes,,Yes,1037.00,,Under Construction,Under Construction,"Convoys Limited, Prince Street",London,London,England,SE8 3JH,535589,178016,Lewisham,DC/20/117728,,,,,29/07/2020,,,,,,,24/11/2020,,,,,,,
8567,,10/12/2021,Royal Liverpool Childrens Hospital NHS Trust,Alder Hey Hospital - District Heating Network,Campus,New,,,Non Domestic,Hospital,Ground Source Heat Pumps,,,,,,Electric,Shallow Geothermal,45.00,Yes,,Yes,Yes,No,,200.00,Planning Permission Granted,Awaiting Construction,Royal Liverpool Childrens N H S Trust Alder Hey Hospital,Merseyside,North West,England,L12 2AP,340370,391870,Liverpool,20F/3268,,,,,17/12/2020,,,,,,,19/10/2021,,,,,,,
8568,,11/01/2022,Cambridgeshire County Council,Swaffham Prior Community Heat Network,District,New,300,,Domestic,Residential,Ground Source Heat Pumps,Air Source Heat Pumps,,Gas Boiler,,,Electric,Deep Geothermal,72.00,,,Yes,,No,,,Operational,Operational,"Liberty Barns, Heath Road, Swaffham",Cambridgeshire,Eastern,England,CB25 0LA,557931,263400,East Cambridgeshire,CCC/20/054/FUL,,,,,24/07/2020,,,,,,,21/09/2021,,,,,,28/10/2021,
8569,,11/03/2021,Highland Energy Supply Co.Limited,Heather Brae - 800kw District Heating Facility,District,New,6,,Domestic,Residential,Biomass (dedicated),,,,,0.8,Woodchip/Pellet,,,,,Yes,,No,,,Planning Application Withdrawn,Application Withdrawn,"Lower Dell Nursery, Nethy Bridge",Highland,Scotland,Scotland,PH25 3DQ,300993,820206,Highland,20/04665/FUL,,,,,25/11/2020,09/02/2021,,,,,,,,,,,,,
8570,,01/09/2022,Pierfront Developments,Cleveland Road Flats,Communal,New,16,1,Domestic,Residential,Gas Boiler,,,,,,Gas,,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"32 Cleveland Road, Bournemouth",Dorset,South West,England,BH1 4QD,410569,92311,"Bournemouth, Christchurch and Poole",7-2022-2323-H,,,,,11/04/2022,,,,,,,16/06/2022,,,,,,,
8572,,09/01/2023,South Tyneside Metropolitan Borough Council /Vital Energi Utilities Limited,Hebburn Minewater District Heating Project,District,New,,,,Unspecified,Ground Source Heat Pumps,,,,0.90,,Electric,Deep Geothermal - Mine Water,,,,Yes,,No,300.00,,Under Construction,Under Construction,"Hebburn Town, Hebburn",Tyne And Wear,North East,England,NE33 2RL,436659,566883,South Tyneside,ST/0725/21/LAA,,,,,27/07/2021,,,,,,,14/04/2020,,,,,,,
8576,,11/03/2021,London Square,London Square Bermondsey,District,New,409,5,Mixed,"Residential, Office, Retail",Gas Fired CHP,Air Source Heat Pumps,,,,,Gas,,,,,Yes,Yes,Yes,,,Under Construction,Under Construction,"Rich Industrial Estate, Crimscott Street, Willow Walk, Southwark",London,London,England,SE1 5SF,533408,178918,Southwark,15/AP/2474,,,,,18/06/2015,,,,,,,07/12/2016,,,,,,,
8577,,06/06/2023,London Borough of Southwark,Aylesbury Estate Regeneration,District,New,589,,Mixed,"Residential, Nursery, Gym, Community Hub",Gas Fired CHP,Gas Boiler,,,2.00,,Gas,,,,,Yes,,Yes,,,Under Construction,Under Construction,"Aylesbury Estate, Bounded By Albany Road, Portland Street, Westmoreland Road And Bradenham Close, Walworth",London,London,England,SE17 2EP,533146,178042,Southwark,14/AP/3843,,,,,13/10/2014,,,,,,,05/08/2015,,,,,,,
8578,,06/01/2023,Native Land,"PHASE 1 Bankside Yards, Western Site",District,New,142,3,Domestic,Residential,Gas Fired CHP,Gas Boiler,,,,0.22,Gas,,,,,Yes,,Yes,,,Under Construction,Under Construction,"Sampson House, 64 Hopton Street and Ludgate House, 245 Blackfriars Road, Southwark",London,London,England,SE1 9UF,531684,180473,Southwark,12/AP/3940,,,,,10/12/2012,,,,,,,28/03/2014,,,,,,,
8579,,16/01/2024,Galliard Homes Limited,Wickside Residential & Commercial,District,New,436,12,Domestic,Residential,Gas Fired CHP,,,Gas Boiler,,,Gas,,,,,Yes,Yes,Yes,,,Under Construction,Under Construction,Mcgrath Works Depot Waste Recycling Station,London,London,England,E9 5HH,537144,184390,Tower Hamlets,16/00451/OUT,,,,,09/11/2016,,,,,,,21/01/2020,,,,,,,
8581,,29/11/2022,Network Homes,1 Vinyl Square Apartments & Comercial,District,New,135,1,Mixed,"Residential, Retail",Gas Fired CHP,,,,,0.717,Gas,,,Yes,,Yes,,Yes,,65.00,Under Construction,Under Construction,"The Old Vinyl Factory, 1 Vinyl Square, Blyth Road, Hayes",London,London,England,UB3 1DD,509155,179653,Hillingdon,59872/APP/2019/3852,,,,,09/12/2019,,,,,,,22/05/2020,,,,,,,
8583,,20/05/2024,MHS Homes Group,St Clements House,Communal,New,44,1,Domestic,Residential,Gas Boiler,Gas Fired CHP,,,,,Gas,,,,,Yes,,Yes,,,Under Construction,Under Construction,"St Clements House, Corporation Street, Rochester",Kent,South East,England,ME1 1NL,574568,168392,Medway, MC/20/0932,,,,,22/04/2020,,,,,,,06/11/2020,,,,,01/02/2024,,
8584,,10/03/2021,Leeds City Council,Leeds PIPES - City Centre (Phase 2),District,New,236,6,Mixed,"Residential, Office",EfW Incineration,Gas Fired CHP,,,,,Gas,Heat from Energy from Waste Plants,,,,Yes,,Yes,5000.00,300.00,Under Construction,Under Construction,"Leeds City Council, Civic Hall, Calverley Street",West Yorkshire,Yorkshire and Humber,England,LS1 1UR,429835,434078,Leeds,20/02387/FU,,,,,27/05/2020,,,,,,,,,,,,,,
8585,,15/03/2022,Westrock,Crawley Energy Centre,District,New,,,Mixed,,Gas Fired CHP,,,,,0.225,Gas,,,Yes,19.00,Yes,,Yes,,,Operational,Operational,"Town Hall, The Boulevard, Northgate, Crawley",West Sussex,South East,England,RH10 1UZ,527192,136870,Crawley,CR/2018/0139/FUL,,,,,25/04/2018,,,,,,,02/08/2019,,,,,,01/07/2022,
8586,,10/03/2021,Adur District Council,Shoreham Heat Network,District,New,8000,,,Unspecified,Gas Fired CHP,,,,,3,Gas,,,Yes,200.00,Yes,,Yes,,,Pre-Planning,Pre-Planning,"Barking Town Centre, Barking",London,London,England,IG11 8AF,,,,,,,,,,,,,,,,,,,,,,,
8587,,20/01/2023,Bradford Energy Limited,Bradford Energy Network (BEN) - Phase 1,District,New,,,,Unspecified,Water Source Heat Pumps,Gas Fired CHP,,,,2,Electric,,,,,Yes,,Yes,2100.00,,Abandoned,Abandoned,Various locations in throughout Shoreham,West Sussex,South East,England,,,,,,,,,,,,,,,,,,,,,,,,01/09/2022
8588,,10/03/2021,Cardiff City Council,Cardiff Heat Network - Phase 1,District,New,,,,Unspecified,Gas Fired CHP,Air Source Heat Pumps,,,8.00,,Gas,,,Yes,250.00,Yes,,Yes,,,Pre-Planning,Pre-Planning,Black Horse Street Car Park,Lancashire,North West,England,BL3 6EB,371489,408753,Bolton,,,,,,,,,,,,,,,,,,,,
8589,,27/10/2022,Leep Holdings (Utilities) Limited,South West Exeter Heat Network,District,New,,35,Mixed,Unspecified,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,,5000.00,,Under Construction,Under Construction,Bradford City Centre,West Yorkshire,Yorkshire and Humber,England,BD1 1LB,416292,432856,Bradford,22/04003/MAF,,,,,14/09/2022,,,,,,,20/06/2023,,,,24/10/2025,,,
8591,,20/01/2023,Gateshead Energy Company,Gateshead District Energy Scheme - East Extension,District,New,,11,Mixed,"Residential, College,  Arena, Town Hall, Hotel",EfW Incineration,Gas Fired CHP,,Gas Boiler,15.00,,Gas,Heat from Energy from Waste Plants,,,,Yes,,Yes,,,Under Construction,Under Construction,Various locations in throughout Cardiff,South Glamorgan,Wales,Wales,CF1,,,,21/01612/MNR,,,,,25/06/2021,,,,,,,12/03/2021,,,,,,,
8592,,20/01/2023,London Borough of Hackney,Woodberry Down,District,New,,,Mixed,Unspecified,EfW Incineration,Gas Fired CHP,,Gas Boiler,,4,Gas,Heat from Energy from Waste Plants,,Yes,300.00,Yes,,Yes,,,Abandoned,Abandoned,Various locations in throughout South West Exeter,Devon,South West,England,,,,,,,,,,,,,,,,,,,,,,,,24/05/2021
8593,,10/03/2021,MEP Limited,Manchester OPEN (Octagon House - Energy Centre),District,,4000,,,,EfW Incineration,Gas Fired CHP,,,,2.4,Gas,Heat from Energy from Waste Plants,,,,Yes,,Yes,,,Pre-Planning,Pre-Planning,Various locations in throughout Cranbrook,Devon,South West,England,,,,,,,,,,,,,,,,,,,,,,,,
8594,,30/01/2024,Leep Holdings (Utilities) Limited,Media City Heat and Power Network,District,Expansion,,,,Unspecified,Ground Source Heat Pumps,,,,6.00,,Electric,Deep Geothermal - Mine Water,,,,Yes,,Yes,5000.00,,Operational,Operational,"Local Environmental Services Construction Depot, Shearlegs Road East, Gateshead",Tyne And Wear,North East,England,NE8 3EN,426377,563267,Gateshead,DC/20/00884/FUL,,,,,29/03/2020,,,,,,,17/12/2020,,,,,,01/03/2023,
8595,,10/03/2021,Bristol City Council,Bedminster,District,New,,,,Unspecified,EfW Incineration,Gas Fired CHP,,,,,Gas,Heat from Energy from Waste Plants,,,,Yes,,Yes,,,Pre-Planning,Pre-Planning,Various locations in throughout Hull,East Riding of Yorkshire,Yorkshire and Humber,England,,,,,,,,,,,,,,,,,,,,,,,,
8596,,10/03/2021,The Wheat Quarter Limited,Wheat Quarter,District,New,2,,Non Domestic,Detention Facility,EfW Incineration,Gas Fired CHP,,,,,Gas,Heat from Energy from Waste Plants,,,,Yes,,Yes,,,Pre-Planning,Pre-Planning,Various locations in throughout Isle of Wight,Isle of Wight,South East,England,,,,,,,,,,,,,,,,,,,,,,,,
8597,,10/03/2021,The Wheat Quarter Limited,Wheat Quarter ,District,New,,,,Unspecified,Gas Fired CHP,Water Source Heat Pumps,,Gas Boiler,,8.2,Gas,,,,50.00,Yes,,Yes,1722.00,,Pre-Planning,Pre-Planning,Various site throughout Kent,Kent,South East,England,,,,,,,,,,,,,,,,,,,,,,,,
8598,,10/03/2021,London Borough of Barking and Dagenham,Thames Road Apartments,District,New,,,,Unspecified,Gas Fired CHP,,,,,,Gas,,,,,Yes,,Yes,,,Pre-Planning,Pre-Planning,Various locations in throughout Knowsley,Merseyside,North West,England,,,,,,,,,,,,,,,,,,,,,,,,
8600,,15/03/2023,Audley St Elphins Limited,Audley Retirement Village - Block M,District,New,5500,,Domestic,Residential,Gas Fired CHP,Gas Boiler,,,,,Gas,,,,,Yes,,Yes,,,Under Construction,Under Construction,"Woodberry Down, Hackney",London,London,England,N4 2SB,532470,187642,Hackney,2013/3223,,,,,08/11/2013,,,,,,,20/08/2014,,,,,,,
8601,,10/03/2021,First Endeavour LLP,Auchmill Road,District,New,,,,Unspecified,Ground Source Heat Pumps,,,,,,Electric,Shallow Geothermal,,,,Yes,Yes,No,,,Pre-Planning,Pre-Planning,Various locations in throughout Islington,London,London,England,,,,,,,,,,,,,,,,,,,,,,,,
8602,,10/03/2021,Clarion Housing / London Square,St Michaels Square,District,New,,,,Unspecified,Ground Source Heat Pumps,,,,,,Electric,Shallow Geothermal,,,,Yes,Yes,No,,,Pre-Planning,Pre-Planning,Northampton Square,London,London,England,EC1V 0ES,,,,,,,,,,,,,,,,,,,,,,,
8603,,10/03/2021,Urbanest Limited,"Roman Wall House, Crutched Friars and Emperor House",District,Expansion,,,,Unspecified,EfW Incineration,Gas Fired CHP,,,,,Gas,Heat from Energy from Waste Plants,,,,Yes,,Yes,5000.00,,Pre-Planning,Pre-Planning,,London,London,England,,,,,,,,,,,,,,,,,,,,,,,,
8604,,15/03/2023,Telereal Trillium,Rome House,District,New,,,,Unspecified,Gas Fired CHP,,,,9.90,,Gas,,,,,Yes,Yes,Yes,,,Planning Permission Granted,Awaiting Construction,Manchester  ,Greater Manchester,North West,England,M13 0EA,385480,396088,Manchester,127779/FO/2020,,,,,15/12/2020,,,,,,,10/03/2021,,,,,,,
8605,,10/03/2021,London Borough of Ealing Council,High Lane Estate Regeneration Development,District,New,,,,Unspecified,Ground Source Heat Pumps,Water Source Heat Pumps,Gas Fired CHP,Gas Boiler,,,Electric,Shallow Geothermal,70.00,,,Yes,Yes,Yes,,,Pre-Planning,Pre-Planning,Plymouth Southern City Centre,Devon,South West,England,,,,,,,,,,,,,,,,,,,,,,,,
8606,,10/03/2021,Barratt London,"Western Circus, Acton",District,New,,,,Defence Organisation,Gas Fired CHP,Gas Boiler,,,,,Gas,,,,,Yes,Yes,Yes,4500.00,,Pre-Planning,Pre-Planning,,Hampshire,South East,England,,,,,,,,,,,,,,,,,,,,,,,,
8607,,10/03/2021,Aldau Hotel Investments Limited,"The Portal, Gypsy Corner",District,New,,,,Unspecified,Biomass (dedicated),,,,45.00,125,Woodchip/Pellet,,,,,Yes,,No,4000.00,,Pre-Planning,Pre-Planning,Various location throughout Rotherham,South Yorkshire,Yorkshire and Humber,England,,,,,,,,,,,,,,,,,,,,,,,,
8608,,10/03/2021,Countryside Properties (UK) Limited Head Office,"Alma Estate Regeneration - Phase 2, 2Ai & 2Aii",Campus,New,1,,Non Domestic,Office,Gas Fired CHP,Absorption Chiller using heat from CHP,,Gas Boiler,12.50,,Gas,,,,,Yes,Yes,Yes,2000.00,,Operational,Operational,"Media City, Manchester",Greater Manchester,North West,England,,,,,,,,,,,,,,,,,,,,,,,01/01/2020,
8609,,10/03/2021,Viewpoint Estates,Chase Road,District,New,,,,Unspecified,Gas Fired CHP,,,Gas Boiler,,,Gas,,,,,Yes,,Yes,,,Pre-Planning,Pre-Planning,Various locations in throughout Porton Down,Wiltshire,South West,England,,,,,,,,,,,,,,,,,,,,,,,,
8610,,10/03/2021,Concept Business Group,Mast Pond Wharf / King Henry Dock ,District,New,,,,Unspecified,Ground Source Heat Pumps,Water Source Heat Pumps,,,,,Electric,Shallow Geothermal,,,,Yes,,No,,,Pre-Planning,Pre-Planning,Barnsley Town Centre,South Yorkshire,Yorkshire and Humber,England,,,,,,,,,,,,,,,,,,,,,,,,
8611,,10/03/2021,The Berkeley Group ,"M&S White City Site - Phase 1 - Plots A1,A2 & A3",District,,,,,,Ground Source Heat Pumps,Water Source Heat Pumps,Gas Fired CHP,,5.20,24,Electric,Shallow Geothermal,,,,Yes,,Yes,,,Pre-Planning,Pre-Planning,Alderley Park,Cheshire,North West,England,,,,,,,,,,,,,,,,,,,,,,,,
8612,,10/03/2021,St George Developments Limited,Chelsea Creek - Buildings G & H,District,New,,,,Unspecified,EfW Incineration,Gas Fired CHP,,Gas Boiler,3.00,4,Gas,Heat from Energy from Waste Plants,,,,Yes,,Yes,6500.00,,Pre-Planning,Pre-Planning,Various locations in throughout Exeter,Devon,South West,England,,,,,,,,,,,,,,,,,,,,,,,,
8613,,10/03/2021,Muse Developments Limited,"Hale Wharf, Tottenham Hale, Phase 1 ",District,New,,,,Unspecified,EfW Incineration,Gas Fired CHP,,,,,Gas,Heat from Energy from Waste Plants,,,,Yes,,Yes,,,Pre-Planning,Pre-Planning,,West Yorkshire,Yorkshire and Humber,England,,,,,,,,,,,,,,,,,,,,,,,,
8614,,10/03/2021,Muse Developments Limited,"Hale Wharf, Tottenham Hale, Phase 2",District,Expansion,,,,Unspecified,EfW Incineration,Gas Boiler,,,8.00,40,Gas,Heat from Energy from Waste Plants,,,,Yes,,No,,,Pre-Planning,Pre-Planning,,London,London,England,,,,,,,,,,,,,,,,,,,,,,,,
8615,,10/03/2021,London Borough of Lambeth,Westbury Estate Regeneration Phase 1,District,,,,,,Water Source Heat Pumps,Gas Boiler,,,,,Electric,,,,,Yes,,No,,,Pre-Planning,Pre-Planning,,West Midlands,West Midlands,England,,,,,,,,,,,,,,,,,,,,,,,,
8616,,10/03/2021,Fenton Whelan Limited,Park Modern Development - 57 Apartments & Commercial Units,District,,,,Non Domestic,University/Offices/Hospital,Gas Fired CHP,,,,,,Gas,,,,,Yes,Yes,Yes,,,Pre-Planning,Pre-Planning,Middlesbrough,Tyne And Wear,North East,England,,,,,,,,,,,,,,,,,,,,,,,,
8617,,10/03/2021,Royal Holloway University of London,Rusham Park Student Village,District,,,,,,EfW Incineration,Gas Fired CHP,,,1.58,1.58,Gas,Heat from Energy from Waste Plants,,,,Yes,,Yes,,,Pre-Planning,Pre-Planning,,Hampshire,South East,England,,,,,,,,,,,,,,,,,,,,,,,,
8618,,10/03/2021,Thameswey Group,"Thameswey Energy Centre, Poole Road",Communal,,,,Non Domestic,School,Water Source Heat Pumps,Gas Fired CHP,,Gas Boiler,,,Electric,,,,,Yes,,Yes,,,Pre-Planning,Pre-Planning,,South Gloucestershire,South West,England,,,,,,,,,,,,,,,,,,,,,,,,
8619,,10/03/2021,Woking Borough Council / Thameswey Group,"Sheerwater Regeneration Phases 2, 3 and 4",District,,,17,Mixed,Residential/Office/Retail,Gas Fired CHP,Gas Boiler,,,9.20,0.504,Gas,,,Yes,60.00,Yes,,Yes,,,Pre-Planning,Pre-Planning,Bury Town Centre,Lancashire,North West,England,,,,,,,,,,,,,,,,,,,,,,,,
8620,,10/03/2021,Warwick Gates LLP,"Warwick Gates Retirement Home, Phase 3 - 69 Extra Care Flats",District,,,,,,Gas Fired CHP,Gas Boiler,,,1.50,13.2,Gas,,,Yes,150.00,Yes,,Yes,,,Pre-Planning,Pre-Planning,Halifax Town Centre,West Yorkshire,Yorkshire and Humber,England,,,,,,,,,,,,,,,,,,,,,,,,
8621,,10/03/2021,Sterling Property Ventures Limited,103 Colmore Row - Offices/Shops/Restaurant - Natwest Tower,Communal,,,,,,Water Source Heat Pumps,,,,4.00,,Electric,Deep Geothermal - Mine Water,,,,Yes,,No,,,Pre-Planning,Pre-Planning,,Cumbria,North West,England,,,,,,,,,,,,,,,,,,,,,,,,
8622,,10/03/2021,Durham County Council,Dawdon Mine Water Treatment Site - Energy Centre,Communal,,,,,,Gas Fired CHP,,,,,2.36,Gas,,,,,Yes,,Yes,,,Pre-Planning,Pre-Planning,"Westlakes Science Park, Whitehaven",Cumbria,North West,England,CA24 3JZ,,,,,,,,,,,,,,,,,,,,,,,
8623,,10/03/2021,The University of Manchester / Mubadala Development Company,Fallowfield Student Residences Project - Phase 3,District,Expansion,,,,Unspecified,EfW Incineration,Gas Boiler,,,28.00,5.3,Gas,Heat from Energy from Waste Plants,,,,Yes,,Yes,,,Pre-Planning,Pre-Planning,Wood Green ,London,London,England,,,,,,,,,,,,,,,,,,,,,,,,
8624,,10/03/2021,The University of Manchester,Fallowfield Student Residences - Phase 2,District,,,,,,Gas Fired CHP,,,,3.50,17,Gas,,,,,Yes,,Yes,,,Pre-Planning,Pre-Planning,Tottenham Hale,London,London,England,,,,,,,,,,,,,,,,,,,,,,,,
8625,,10/03/2021,Ziser,Cricklewood Broadway Development,District,,,,,,EfW Incineration,Gas Boiler,,,,,Gas,Heat from Energy from Waste Plants,,,,Yes,Yes,No,,,Pre-Planning,Pre-Planning,,London,London,England,,,,,,,,,,,,,,,,,,,,,,,,
8626,,10/03/2021,Urban Pulse Crown Court Llp,25 Dunstable Place - 194 Apartments,District,,,,Non Domestic,Hospital,Gas Fired CHP,Ground Source Heat Pumps,,Gas Boiler,,,Gas,,,,,Yes,,Yes,,,Pre-Planning,Pre-Planning,"Grimsby Institute, Grimsby",Lincolnshire,East Midlands,England,,,,,,,,,,,,,,,,,,,,,,,,
